,Period 1,Period 2,Period 3,Period 4,Period 5
Day 1,English (No Teacher),English (No Teacher),elective (kaliraj),.NET Lab (cladju),Tamil (No Teacher)
Day 2,linux Lab (janai),.net (cladju),dos (vaisnavi),.net (cladju),English (No Teacher)
Day 3,.NET Lab (cladju),Tamil (No Teacher),English (No Teacher),dos (vaisnavi),dos (vaisnavi)
Day 4,Tamil (No Teacher),Tamil (No Teacher),English (No Teacher),English (No Teacher),elective (kaliraj)
Day 5,.net (cladju),.net (cladju),dos (vaisnavi),.NET Lab (cladju),linux Lab (janai)
Day 6,.NET Lab (cladju),Tamil (No Teacher),.NET Lab (cladju),dos (vaisnavi),Tamil (No Teacher)
