,Period 1,Period 2,Period 3,Period 4,Period 5
Day 1,c++ Lab (geetha),English (No Teacher),Maths (No Teacher),c++ Lab (geetha),Maths (No Teacher)
Day 2,English (No Teacher),c++ (geetha),English (No Teacher),Maths (No Teacher),VE (suganthi)
Day 3,Tamil (No Teacher),c++ Lab (geetha),Tamil (No Teacher),c++ Lab (geetha),English (No Teacher)
Day 4,Tamil (No Teacher),c++ (geetha),c++ Lab (geetha),Maths (No Teacher),English (No Teacher)
Day 5,Maths (No Teacher),Tamil (No Teacher),c++ Lab (geetha),VE (suganthi),c++ (geetha)
Day 6,c++ (geetha),Tamil (No Teacher),c++ (geetha),English (No Teacher),Tamil (No Teacher)
