,Period 1,Period 2,Period 3,Period 4,Period 5
Day 1,Python Lab,Empty,Empty,Empty,Empty
Day 2,Empty,Empty,Empty,Empty,Web Lab
Day 3,Empty,Empty,Python Lab,Empty,Empty
Day 4,Web Lab,Web Lab,Empty,Python Lab,Web Lab
Day 5,Empty,Empty,Python Lab,Empty,Web Lab
Day 6,Empty,Empty,Python Lab,Web Lab,Empty
