,Period 1,Period 2,Period 3,Period 4,Period 5
Day 1,C++ Lab,Tamil,Empty,Empty,English
Day 2,Tamil,Empty,English,Tamil,Maths
Day 3,C++ Lab,Tamil,Empty,Empty,Empty
Day 4,C++ Lab,Empty,Maths,Maths,Tamil
Day 5,Maths,English,C++ Lab,English,Tamil
Day 6,English,English,C++ Lab,C++ Lab,Maths
