,Period 1,Period 2,Period 3,Period 4,Period 5
Day 1,English,Tamil,Empty,English,Empty
Day 2,English,Empty,English,Empty,Tamil
Day 3,.NET Lab,Empty,Empty,English,Empty
Day 4,.NET Lab,.NET Lab,Empty,.NET Lab,Empty
Day 5,.NET Lab,Tamil,Empty,Tamil,Empty
Day 6,English,Empty,Empty,Tamil,Tamil
